source,target
上海清美绿色食品有限公司,崇明陈家镇195(农工商),4.0
六安市宏云商贸有限公司,上海易买得超市有限公司牡丹江店,2.0
上海东区老大房食品有限公司,吉买盛控江店,27.0
上海庆丰酿造食品有限公司,上海古韵老街坊餐饮有限公司,1.0
上海清美绿色食品有限公司,奉贤青村集贸市场（专卖加盟）,6.0
老林豆制品经营部,上海兴堰商贸有限公司,32.0
朗道客（上海）贸易有限公司,上海绿地优鲜超市有限公司,3.0
锦江麦德龙现购自运有限公司,潇洒园酒家,9.0
青岛万福食品有限公司,上海日生食品物流有限公司,1.0
上海景瑞农业科技发展有限公司,上海新欧尚超市有限公司金都路店,3.0
上海展富食品有限公司,（虹桥店）上海新旺餐饮管理有限公司虹桥路店,365.0
益海嘉里食品营销有限公司,上海必胜客有限公司文峰餐厅,9.0
宝山区云锦油粮经营部,上海绩成餐饮有限公司,21.0
上海工业对外贸易公司,上海宝山宜家家居有限公司,227.0
青岛和实食品有限公司,上海日生食品物流有限公司,1.0
上海台崎餐饮有限公司第一分公司,上海外高桥进口商品直销中心有限公司,36.0
上海新景西餐食品有限公司,浦东华美达大酒店（民航置业）,21.0
上海力德尔食品有限公司,B2-1811a福山唐城外国语小学5303a②学生,2.0
上海艺杏食品有限公司,兴业银行餐厅（H  ）-M,17.0
上海良友海狮油脂实业有限公司,上海通河永辉超市有限公司,1.0
兴化市春宏米业有限公司,上海新南华四平大酒店有限公司,2.0
上海新景西餐食品有限公司,杭州凯悦酒店（杭州华溥）,72.0
上海市闵行区欣发水产经营部,上海部落情餐饮服务管理有限公司,2.0
内蒙古阜丰生物科技有限公司,鲜尚食品（上海）有限公司,1.0
上海欧源豆类食品有限公司,澄桥,28.0
上海东方食品有限公司,迎园菜场,19.0
上海市宝山区跃知蔬菜经营部,潇洒园酒家,12.0
上海花冠营养乳品有限公司,赣州南康凤岗镇爱婴坊,11.0
安吉祖名豆制食品有限公司,徐汇家乐福,174.0
ZZOC-上海弘阳农业有限公司,上海联家超市有限公司荣乐路店,12.0
