source,target
重庆恒都食品有限公司,上海上食肉类有限公司,2.0
上海艺杏食品有限公司,万源协和双语学校平吉路校区（交大后勤）(H),5.0
上海清美食品有限公司1,上海市浦东新区惠南镇侬佳坊餐厅,50.0
上海越哲食品有限公司,昆明-郑总,14.0
上海东区老大房食品有限公司,世纪联华莘庄店,9.0
上海阳洋豆业食品有限公司,奥华市场3号-艺杏,2.0
上海炫阳食品有限公司,上海锦燕餐饮管理有限公司,88.0
上海市闸北区熠峰食品经营部,上海龙辉餐饮管理有限公司新松江路店,2.0
上海松江粮油购销有限公司泖港粮库,上海松江军粮供应站,42.0
江苏太合食品有限公司,上海双汇大昌有限公司上海分公司,2.0
上海华环真北农贸市场,上海龙珠集贸市场经营管理有限公司,201.0
上海花冠营养乳品有限公司,德阳市中江县宝贝空间,9.0
上海农工商经济贸易有限公司,上海豫园餐饮食品有限公司宝山分厂,1.0
上海意华食品有限公司,欧尚超市有限公司(无锡2店),1.0
上海新尚实国际贸易有限公司,上海上食肉类有限公司,8.0
上海轩尧食品有限公司,华润万家上海乐购物流有限公司,40.0
上海花冠营养乳品有限公司,晋中平遥县咿咿呀呀孕婴童生活馆,13.0
益海嘉里食品营销有限公司,上海康仁乐购超市贸易有限公司,9.0
上海斗品膳食品有限公司,青岛红屋食品有限公司,3.0
上海大昌行食品工业有限公司,家得利  虹桥,3.0
上海汉康豆类食品有限公司,39.家乐福徐泾店,8.0
上海虹许食品添加剂有限公司,上海华晨食品有限公司,2.0
上海御华果品有限公司,上海联家超市有限公司新南店,1.0
上海良友海狮油脂实业有限公司,上海新易百货有限公司,1.0
上海清美绿色食品有限公司,嘉里店(华润OLE超市),1.0
上海旭洋绿色食品有限公司,华联超市重庆专卖,21.0
涡阳县启绿食品销售有限责任公司,上海龙辉餐饮管理有限公司周浦万达店,1.0
领先食品（上海）发展有限公司,味之鲜-上海优豆,62.0
泰森华东食品发展有限公司,特易购商业（上海）有限公司周浦分公司,11.0
上海松江粮油购销有限公司泖港粮库,松江区新浜镇韩韩粮油店,3.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司上丰餐厅,26.0
上海紫燕食品有限公司,上海市浦东新区花木街道川燕熟食店,7.0
上海清美绿色食品有限公司,申客隆龚华店加盟,20.0
上海金锣哲远食品销售有限公司,上海繁安综合市场经营管理有限公司,21.0
上海椰椰食品有限公司,台州聚珍阁（戴建富）,2.0
高正恩豆制品经营部,上海爱辉农副产品市场经营管理有限公司,30.0
上海宁富食品有限公司,上海新欧尚超市有限公司外高桥店,1.0
面制品,上海市鹤林酒家,26.0
上海适达餐饮管理有限公司冰淇淋加工厂,莘庄龙之梦,34.0
蓝顿旭美食品有限公司,上海萨莉亚餐饮有限公司真北路店,1.0
上海艺杏食品有限公司,崇明陈家镇裕安农贸市场(施菊贤)（专卖）,31.0
上海双汇大昌有限公司上海分公司,泗洪县康源冷鲜肉销售中心,12.0
佛山施达清洁设备有限公司,上海市第一人民医院,1.0
上海津香食品有限公司,重庆善品园食品有限公司,4.0
惠氏（上海）贸易有限公司,沃尔玛顾村店,19.0
上海苏食肉品销售有限公司,0198临沂联华专卖,1.0
陈芳,上海万有全豆制品有限公司奉贤分公司,30.0
广州嘉豪有限公司,上海依涛食品有限公司,1.0
上海市江桥批发市场经营管理有限公司(蔬菜配销),上海联华超市发展有限公司 - 系统,19518.0
宝山区宝兰家禽店,宝钢集团宝山宾馆上海聚宝轩大酒店,5.0
邦基（南京）粮油有限公司,上海联家超市有限公司万里店,1.0
上海全能餐饮配送有限公司,三钢里分公司,13.0
上海长生食品有限公司,大润发美兰湖店,7.0
上海椰椰食品有限公司,义乌市一柳食品有限公司,3.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司联富餐厅,31.0
上海嘉里粮油工业有限公司,上海萨莉亚餐饮有限公司真北路店,3.0
上海江崎格力高食品有限公司,上海普陀沪村副食品商场,1.0
上海旭洋绿色食品有限公司,迪亚天天 控江店,15.0
上海清美绿色食品有限公司,新纪王(联华),31.0
上海信韩食品有限公司,上海首品餐饮管理有限公司浦东第十一分公司,734.0
上海市浦东新区北蔡镇杨广福肉类经营部,上海极品餐饮有限公司,29.0
益海嘉里食品营销有限公司,特易购乐购（中国）投资有限公司嘉善,7.0
上海夏兴稻米专业合作社,中厍农贸,1.0
南昌双汇食品有限公司,上海双汇大昌有限公司上海分公司,3.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司清河餐厅,10.0
上海添汇贸易有限公司,上海宝隆宾馆有限公司,3.0
上海江杨农产品物流有限公司,天星菜场,2.0
上海惠黎食品有限公司,上海七宝商城综合市场经营管理有限公司,4.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司龙阳路店,62.0
上海鑫品食品有限公司,上海亿元食品商贸有限公司,3.0
联合利华（中国）有限公司,上海樟鸿贸易有限公司,1.0
上海乐购物流有限公司闵行分公司,特易购商业（上海）有限公司周浦分公司,57.0
上海力德尔食品有限公司,B2-1901a下沙学校中学部0602a②学生,2.0
上海都乐食品有限公司,沃尔玛南浦大桥店,41.0
中盐上海市盐业公司,上海山林食品有限公司,1.0
上海嘉里粮油工业有限公司（油）,上海市黄浦区陆盛餐厅,36.0
上海力德尔食品有限公司,B2-1413世界外国语小学（西校） $2502②,2.0
上海清美绿色食品有限公司,长白（家得利）,72.0
0252-多美滋婴幼儿食品有限公司,上海联家超市有限公司川沙店,4.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司仲盛店,2.0
东方国际水产中心(水产市场店),上海平延农贸市场经营管理有限公司,540.0
内蒙古中敖食品有限公司,上海市闵行区新哥肉制品经营部,1.0
上海亿欣食品销售有限公司,上海高跃农贸市场经营管理有限公司,52.0
领先食品（上海）发展有限公司,味之鲜-上海朗澈,5.0
上海汉康豆类食品有限公司,上浦店,1.0
上海清美绿色食品有限公司,上海兆基农贸市场经营管理有限公司,21.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司莘松餐厅,5.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司大华乐客多餐厅,4.0
上海作礼食品有限公司,锦江麦德龙现购自运有限公司闵行商场,1.0
广州安城人参有限公司,上海龙辉餐饮管理有限公司南京西路店,3.0
上海江杨农产品物流有限公司,田野公司,1.0
上海汉康豆类食品有限公司,14.家乐福万达店,11.0
上海鼎腾食品有限公司,华山北院,1.0
上海市静星食品贸易有限公司,和三昧（上海）餐饮管理有限公司第一分公司,181.0
上海兆上工贸有限公司,上海德丰食品工业有限公司,3.0
上海花冠营养乳品有限公司,赣州南康区唐江小宝贝,3.0
上海睿畅贸易有限公司奉贤分公司,李国兰（文峰千家惠）,2.0
佛山市腐三和食品有限公司,上海金文食品有限公司,1.0
山东枣庄华宝牧业有限公司,上海新景西餐食品有限公司,2.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司光大餐厅,25.0
昆山利有香食品经营部,上海浦众农贸市场经营管理有限公司,5.0
上海斗品膳食品有限公司,厦门市魔味商贸有限公司,2.0
上海清美绿色食品有限公司,金科店（欧尚封柜）,58.0
上海紫燕食品有限公司,上海紫燕食品有限公司都市路三店,2.0
广东万宁连锁商业有限公司,万宁日用品商业（上海）有限公司我格广场分店,54.0
上海双汇大昌有限公司上海分公司,铜官山区新长城商贸经营部,11.0
上海市皖北（砀山）果行,上海双峰农贸市场经营管理有限公司,60.0
安徽省含山县皖江麻油有限公司,上海山林食品有限公司,1.0
上海清美绿色食品有限公司,上海绿叶农副产品市场经营管理有限公司盘古路市场分公司,595.0
益海嘉里食品营销有限公司,上海肯德基有限公司高行餐厅,1.0
青岛日辰食品销售（上海）有限公司,上海龙辉餐饮管理有限公司南京西路店,1.0
上海鸿开果业有限公司,上海天平宾馆有限公司,23.0
茂名市茂南区新鸿商贸有限公司,上海新南华四平大酒店有限公司,21.0
上海花冠营养乳品有限公司,抚州市天行健贸易有限公司,15.0
V683-上海天成企业发展有限公司,上海联家超市有限公司武宁店,9.0
上海清美绿色食品有限公司,杨泰蔬菜店（预付）,32.0
西郊国际宜丰果品商行,上海虹腾农副产品市场经营管理有限公司,17.0
上海清美绿色食品有限公司,南园路菜店（预付）,32.0
江苏泰森食品有限公司,B无锡中山路八佰伴店,4.0
上海旭洋绿色食品有限公司,华润银泰店,10.0
上海日粉食品有限公司,上海日生食品物流有限公司,1.0
上海行怡食品贸易有限公司,上海祁麟实业有限公司,56.0
兴达冷冻食品商行,上海浦众农贸市场经营管理有限公司,2.0
上海依涛食品有限公司,上海龙辉餐饮管理有限公司长泰广场店,20.0
宋龙,上海宝山勤宇农副产品市场经营管理有限公司,20.0
射阳县鑫源粮食加工厂,上海新易百货有限公司,2.0
上海清美绿色食品有限公司,龙山菜场,60.0
上海江杨农产品物流有限公司,荣安驾校,3.0
ZVKL-中粮食品营销有限公司上海分公司,上海联家超市有限公司曹路店,4.0
上海清美绿色食品有限公司,长宁支路菜店（专卖加盟）,22.0
修武县依赛牛肉有限公司,上海兆宏餐饮管理有限公司,3.0
上海市怀乾贸易有限公司,上海龙辉餐饮管理有限公司长泰广场店,172.0
上海花冠营养乳品有限公司,邵阳市尚婴贝贝母婴连锁有限公司,20.0
上海江杨农产品批发市场,上海淞南农副产品市场经营管理有限公司,18.0
益海嘉里食品营销有限公司,上海必胜客有限公司青浦百联餐厅,2.0
上海新景西餐食品有限公司,碧云路/本色餐厅,1.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司邯郸路餐厅,8.0
上海品谷食品有限公司,上海梅龙镇伊势丹百货有限公司,6.0
上海龙辉餐饮管理有限公司九六广场店,上海日野食用农产品销售有限公司,4.0
广东八记食品有限公司（阿文）,上海龙辉餐饮管理有限公司月星广场店,50.0
上海斗品膳食品有限公司,上海斗牛士餐饮管理有限公司普陀店,7.0
上海世达食品有限公司,上海龙辉餐饮管理有限公司航南公路店,13.0
上海清美绿色食品有限公司,桥梓弯3839(世纪联华),32.0
多美滋婴幼儿食品有限公司,苏州淳润商贸有限公司,10.0
上海正澳食品有先公司,上海祥华贸易有限公司,47.0
上海天家餐饮管理有限公司黄浦第一分公司,上海天家餐饮管理有限公司第一分公司,380.0
上海清美绿色食品有限公司,绿林60(伍缘折扣超市),1.0
上海文畅食品有限公司,上海龙辉餐饮管理有限公司宁国路店,7.0
上海绿和园艺有限公司,上海毅彦餐饮管理有限公司漕宝路店,5.0
欧本咖啡（北京）有限公司,上海龙辉餐饮管理有限公司东郊百联店,5.0
上海阳洋豆业食品有限公司,联明路-南市,21.0
江阴宝珍香食品有限公司,上海恩一食品有限公司,1.0
个体工商户,上海市甘泉外国语中学,309.0
上海绿和园艺有限公司,上海必胜客有限公司又一城餐厅,33.0
上海市嘉定区华亭镇赵宝斌水果经营部,上海市宝山区沪又多杂货店,6.0
W915-上海东辉食品有限公司,上海联家超市有限公司武宁店,8.0
五常市鑫龙米业有限公司,上海闽伊食品厂,129.0
上海清美绿色食品有限公司,阳曲(家得利),4.0
