source,target
上海农泰食品有限公司,上海鑫品食品有限公司,16.0
益海嘉里食品营销有限公司,锦江麦德龙现购自运有限公司普陀商场,20.0
上海阳洋豆业食品有限公司,上海永昌菜市场经营管理有限公司,57.0
领先食品（上海）发展有限公司,味之鲜-南通旺炜,19.0
上海双汇大昌有限公司上海分公司,兴化市金德源肉制品商行,15.0
多美滋婴幼儿食品有限公司,家乐福（上海）供应链管理有限公司天津分公司,11.0
上海松江粮油购销有限公司泖港粮库,上海松江粮油购销有限公司浦北分公司,1.0
上海清美绿色食品有限公司,迪亚天天（林展路）加盟预付,69.0
上海美峰食品有限公司,锦江麦德龙现购自运有限公司,1.0
陕西秦宝牧业股份有限公司,上海市闵行区新哥肉制品经营部,1.0
上海冯达豆类食品有限公司,新安A9,28.0
北京泰美味国际贸易有限公司,上海龙辉餐饮管理有限公司月星广场店,10.0
上海福新面粉有限公司,上海萨莉亚餐饮有限公司大渡河路店,1.0
上海意华食品有限公司,昆明云顺和商业发展有限公司,1.0
上海圣华副食品有限公司,上海天茂餐饮有限公司,96.0
益海嘉里食品营销有限公司,上海必胜客有限公司崇明八一路店,3.0
艾狄士食品（上海）有限公司,上海后院咖啡,4.0
江苏省薛埠粮食储备直属库,特易购乐购（中国）投资有限公司嘉善分公司,1.0
上海新景西餐食品有限公司,上海徐汇国际行政公寓（沪平投资）,6.0
上海双汇大昌有限公司上海分公司,乐清市浩博食品有限公司,11.0
中盐宏博（集团）有限公司,上海爱凡食品有限公司,3.0
佳农食品,沃尔玛江桥店,22.0
安吉祖名豆制食品有限公司,老西门易买得,102.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司瞿溪餐厅,14.0
上海清美绿色食品有限公司,凯翔挂靠(联华),55.0
上海避风塘食品有限公司,上海龙辉餐饮管理有限公司周浦万达店,13.0
上海花冠营养乳品有限公司,江西省万年县妈咪宝贝孕婴童生活馆,2.0
上海雨润食品有限公司,上海逸骅集贸市场经营管理服务部,20.0
艾狄士食品（上海）有限公司,Bigbamboo 虹梅路森洁,4.0
上海虔通农副产品有限公司,上海闸北华联吉买盛购物中心有限公司,17.0
昆山陈颖,上海浦众农贸市场经营管理有限公司,1.0
上海清美绿色食品有限公司,永兴加盟（专卖加盟）,30.0
上海花冠营养乳品有限公司,宿州市砀山爱婴堡,27.0
上海力德尔食品有限公司,华东医院食堂,10.0
