source,target
上海汉康豆类食品有限公司,11.联华江桥店,3.0
上海力德尔食品有限公司,宝德1号,4.0
上海晓光粮油食品原料批发部,上海澳莉嘉食品有限公司宝山分公司,1.0
上海雨润肉食品有限公司,上海红林农副产品市场经营管理有限公司,4.0
郑州雪麦龙食品有限公司,上海瑞轩食品有限公司,2.0
上海清美绿色食品有限公司,川沙操场街(联华),1.0
上海展富食品有限公司,（时代广场店）悠乐餐饮管理有限公司时代广场店,5.0
上海强丰果蔬种植专业合作社,金山区漕泾镇人民政府食堂,5.0
上海汉康豆类食品有限公司,上海芯铭农副产品市场经营管理有限公司嘉陵农副产品市场经营管理分公司,2.0
上海清美绿色食品有限公司,如彩超市加盟,1.0
上海清美绿色食品有限公司,韵浦路加盟 预付1 张俊康,6.0
上海锦江国际饭店有限公司帆声饼屋,老同盛,22.0
上海汉康豆类食品有限公司,楚阳-台积电,2.0
上海万旗食品有限公司,上海奉贤大润发商贸有限公司,100.0
上海旭洋绿色食品有限公司,大润发  奉贤,2.0
上海维露食品有限公司,上海远东食品有限公司,2.0
上海展鲜食品销售有限公司,上海龙辉餐饮管理有限公司虹口龙之梦店,2.0
上海汉康豆类食品有限公司,九橙餐饮-世贸,3.0
上海德丰食品工业有限公司,太原唐海（胡小涛）,6.0
上海万有全豆制品有限公司奉贤分公司,上蔬永辉（株洲店）,3.0
北京中冷物流股份有限公司,1072沃尔玛华东百货有限公司上海江桥分店,4.0
泰森华东食品发展有限公司,上海联家超市有限公司金桥店,8.0
上海清美绿色食品有限公司,上海凌云农副产品市场经营管理有限公司,4.0
上海大昌行食品工业有限公司,联华超市   安顺,1.0
上海花冠营养乳品有限公司,绵阳梓潼宝贝之家孕婴店,3.0
海南瑞今肉类食品有限公司上海分公司,上海农工商青浦超市有限公司,1.0
西郊国际农产品交易中心,上海南石农副产品市场经营管理有限公司,27.0
上海米秋实业发展有限公司,上海易买得超市有限公司曲阳店,1.0
益海嘉里（哈尔滨）粮油食品有限公司,上海京家粮油有限公司,1.0
上海桥易实业有限公司,益海嘉里食品营销有限公司,22.0
上海清美绿色食品有限公司,百色68（华联）,4.0
上海清美绿色食品有限公司,宁波欧尚超市有限公司上海嘉定澄浏店,1.0
上海农产品水产批发市场,上海广元农副产品市场经营管理有限公司,27.0
上海百事可乐饮料有限公司,上海泰煌餐饮管理有限公司宝山店,1.0
上海清美绿色食品有限公司,峨山店（家家乐）,4.0
上海加乐食品有限公司,上海人家田林餐饮管理有限公司,10.0
上海旭洋绿色食品有限公司,上海联家超市有限公司新南店,1.0
晓虎冷冻食品经营部,上海浦众农贸市场经营管理有限公司,1.0
上海汉康豆制品有限公司,上海白鹿农副产品市场经营管理有限公司,4.0
上海清美绿色食品有限公司,泥城彩云加盟 预付1 张银平,1.0
上海闽伊食品厂,徽宁路490号,3.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司龙皓路店,1.0
上海万有全豆制品有限公司奉贤分公司,上海梅园村餐饮管理有限公司（虹口店）,1.0
上海艺杏食品有限公司,振华重工长兴基地（科技楼）（H ）,1.0
密山市玖丰米业有限公司,上海新易百货有限公司,1.0
宋友鸡蛋,上海味思餐饮管理有限公司毅丰快餐分公司,1.0
上海旭阳绿色食品有限公司,上海旭洋绿色食品有限公司,1.0
安吉祖名豆制食品有限公司,上海乐购生活购物有限公司菊园分公司,2.0
上海汉康豆类食品有限公司,平顺菜场,3.0
上海睿畅贸易有限公司奉贤分公司,潘群香（吉买盛闸北店）,2.0
上海花冠营养乳品有限公司,淮安明远商贸有限公司,1.0
上海清美绿色食品有限公司,长岛1046（华联）,5.0
