source,target
上海闵行区新哥肉制品经营部,上海辉哥海鲜火锅餐饮有限公司虹桥店,41.0
阳洋,上海月浦蔬菜交易市场经营管理有限公司,51.0
益海嘉里食品营销有限公司,沃尔玛华东百货有限公司上海五角场分店,23.0
上海清美绿色食品公司,新罗秀菜市场,56.0
上海大昌行食品工业有限公司,家得利  新华,1.0
浙江天运食品有限公司,上海古韵老街坊餐饮有限公司,3.0
上海岱柏实业有限公司,上海杨浦绿地商业管理有限公司,209.0
上海冯达豆类食品有限公司,易盛客（西渡店）,15.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司钦州餐厅,8.0
上海奕方农业科技股份有限公司,上海适达餐饮管理有限公司,1.0
上海目森贸易有限公司,上海绿捷实业发展有限公司,31.0
华润五丰米业(中国)有限公司,上海欧尚超市有限公司闵行店,1.0
葫芦岛春贸食品有限公司,上海老磨坊食品有限公司,2.0
上海花冠营养乳品有限公司,厦门市同安聪聪妇幼店,9.0
海伦市可馨粮食经销有限公司,上海欣晨豆业有限公司,30.0
黑龙江哈尔滨市昌泰牧业有限公司,上海聚合食品有限公司,26.0
甄味（上海）国际贸易有限公司,上海龙辉餐饮管理有限公司新松江路店,33.0
上海阳洋豆业食品有限公司,乳山菜场122号,28.0
上海汉康豆类食品有限公司,38.联华西江湾店,28.0
史蜜斯菲尔德（上海）食品有限公司,内蒙古小肥羊餐饮连锁有限公司上海周浦店,1.0
上海汉康豆类食品有限公司,上海广亚百货商业有限公司,23.0
上海都乐食品有限公司东莞分公司,上海华润万家超市有限公司悦达店,8.0
上海银苑酒店有限公司,伟昌副食品经营部,12939.0
江苏环宇康力科技有限公司,安吉祖名豆制食品有限公司,28.0
上海力德尔食品有限公司,B2-1801a浦东新区清源小学5202a②学生,3.0
益海嘉里食品营销有限公司,上海必胜客有限公司漕河泾店,6.0
上海华润五丰营销有限公司,上海新易百货有限公司,22.0
上海老大同食品有限公司,宏润农副产品市场经营管理分公司,2.0
上海艺杏食品有限公司,太仓仓建,29.0
纽迪希亚生命早期营养品管理（上海）有限公司,合肥金燕食品有限责任公司,24.0
上海汉康豆类食品有限公司,庙行机关第二食堂,3.0
领先食品（上海）发展有限公司,味之鲜-保利鑫龙,8.0
上海花冠营养乳品有限公司,河南灵宝绿健孕婴（原灵宝绿健康乳业）,19.0
上海上实现代农业开发有限公司,上海嘉定高速公路建设发展有限公司,1.0
刘文学,上海西郊国际农产品交易有限公司,7.0
上海好伙伴水产,水舍酒店（上海）有限公司,34.0
上海徐汇区怀田副食品商店（郭前进）,上海市徐汇区欣建副食品经营部,1.0
上海新景西餐食品有限公司,杭州董先生（杭州百味食品有限公司）,1.0
欧尚澄浏店,益海嘉里食品营销有限公司,2.0
上海牛羊肉公司,上海龙辉餐饮管理有限公司张杨路店,12.0
上海艺杏食品有限公司,常客隆冷链中心(辛庄店),29.0
益海嘉里食品有限公司,宁波欧尚超市有限公司上海嘉定澄浏店,4.0
上海阳洋豆业食品有限公司,永年路（汉康配送）小张,21.0
上海铜川水产市场经营管理有限公司,上海诚信副食品市场经营管理有限公司,12.0
上海意华食品有限公司,家乐福沈阳黄海店,1.0
上海艺杏食品有限公司,甘泉市场210号（加盟）,23.0
益海（盐城）粮油工业有限公司,上海京家粮油有限公司,1.0
宁德市齐民农工商有限公司,上海莲源物流有限公司,1.0
益海嘉里食品营销有限公司,联华浦电,2.0
上海艺杏食品有限公司,常客隆(滨江店),29.0
上海嫩原粮油批发市场,上海阳普菜市场经营管理有限公司长岭路分公司,8.0
苏州金源食品经营部,上海浦众农贸市场经营管理有限公司,3.0
上海东辉食品有限公司,上海月浦华联吉买盛购物中心有限公司,9.0
上海阳洋豆业食品有限公司,龙山（张小宝）,28.0
上海市静安区艾国食品店,上海古意餐饮管理有限公司静安分公司,47.0
上海艺杏食品有限公司,凡非餐饮-华鑫餐厅,20.0
上海双汇大昌有限公司上海分公司,宁波市金太阳食品有限公司,76.0
江苏省太仓市沙溪镇,上海浦众农贸市场经营管理有限公司,6.0
上海艺杏食品有限公司,万有全（星舟103）,1.0
上海米仙实业有限公司,上海凯红食品市场经营管理有限公司,4.0
上海旭洋绿色食品有限公司,家乐福万达专卖,23.0
上海力德尔食品有限公司,B2-1509a天山第一小学3305a②学生,1.0
上海双汇大昌有限公司上海分公司,义乌市恒发副食有限公司,91.0
上海市浦东新区北蔡镇万鑫,上海浦东新区民办明辉小学,2.0
安徽省联河米业有限公司,上海第一食品杨浦销售有限公司,1.0
ZPJT-益海嘉里食品营销有限公司,上海联家超市有限公司徐汇店,1.0
上海长念餐饮管理有限公司,上海翼家农副市场,17.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司芷江餐厅,6.0
青岛万福集团,上海日生食品物流有限公司,1.0
上海花冠营养乳品有限公司,武穴妈咪贝贝生活馆(原武穴点点孕婴童）,22.0
上海紫燕食品有限公司,上海市浦东新区塘桥街道小容熟食店,3.0
上海锐洲粮油有限公司,上海捷鑫照明电器有限公司,2.0
上海紫燕食品有限公司,上海市普陀区玉成熟食店,2.0
上海惠婴乐贸易有限公司,上海易买得超市有限公司老西门店,9.0
上海宏雷米业有限公司,上海亲洁工贸有限公司头桥分公司,20.0
金利油脂（苏州）有限公司,上海良友海狮油脂实业有限公司,20.0
常州盟江食品有限公司,上海市理工大学附属初级中学,8.0
上海市军工路国太综合市场经营管理有限公司,上海市虹口区中州路第一小学（食堂）,104.0
上海艺杏食品有限公司,普陀区教育服务配送中心《朝春中心》,4.0
上海大昌行食品工业有限公司,家得利  龙柏,1.0
上海市浦东新区北蔡镇海龙水产经营部,上海利峰快餐盒饭有限公司,9.0
上海紫燕食品有限公司,上海市奉贤区梁学文熟食店,2.0
上海双汇大昌有限公司上海分公司,南京市浦口区恒旺食品经营部,5.0
上海汉康豆类食品有限公司,珍鼎-上海社科院分部,13.0
上海密霖贸易有限公司,武汉新东辉经贸有限公司,12.0
凌昊食品销售有限公司,上海浦众农贸市场经营管理有限公司,5.0
上海康味实业有限公司第一分公司,台金兰（仙乐斯店）,81.0
上海亚太国际蔬菜有限公司,上海必胜客有限公司车站南路店,52.0
上海好雄调味品有限公司,上海鑫禾餐饮配送有限公司,1.0
益海嘉里食品营销有限公司,上海肯德基有限公司沪东餐厅,2.0
亳州市魏都农业发展有限公司,上海新欧尚超市有限公司嘉定店,194.0
青岛力创食品有限公司,上海悦采芳实业有限公司,3.0
沈阳新辉肉禽有限公司,上海萨莉亚餐饮有限公司大渡河路店,1.0
上海市闸北区登杰调味品经营部,上海市鹤林酒家,74.0
上海艺杏食品有限公司,田格农贸市场（余国栋）（专卖）,1.0
上海洪场电子商务有限公司,上海辉哥海鲜火锅餐饮有限公司浦东店,6.0
上海东辉食品有限公司,沃尔玛南浦大桥店,1.0
上海艺杏食品有限公司,中航测控（交大后勤）,2.0
上海阳洋豆业食品有限公司,航头菜场1号,29.0
嘉吉肉品公司,上海市闵行区新哥肉制品经营部,1.0
上海味加味调味品有限公司,上海普陀沪村副食品商场,1.0
上海花冠营养乳品有限公司,河津市城区爱婴世家母婴坊,4.0
上海双汇大昌有限公司上海分公司,盐城市智德鑫商贸有限公司,40.0
山东凤祥实业有限公司,上海华晨食品有限公司,5.0
上海汉康豆类食品有限公司,上海联家超市有限公司青浦漕盈店,4.0
益海嘉里食品营销有限公司,上海肯德基有限公司丁香餐厅,1.0
上海旺梓食品有限公司,水舍酒店（上海）有限公司,79.0
上海澳莉嘉食品有限公司宝山分公司,西区老大房（天涯店）,9.0
上海强丰果蔬种植专业合作社,上海农商银行金山支行食堂,95.0
上海市奉贤区王林鲜肉经营部,上海启韵酒楼有限公司,50.0
上海市杨浦区中亮食品经营部,上海市虹口区第四中心小学,11.0
上海汉康豆类食品有限公司,易买得老西门,29.0
上海汉康豆类食品有限公司,江南,28.0
上海泽福食用菌种植专业合作社,上海龙辉餐饮管理有限公司大华店,116.0
太仓新长宁豆制品有限公司,上海市理工大学附属初级中学,48.0
上海牛羊肉公司,上海惠教副食品配送服务有限公司,2.0
上海越哲食品有限公司,株洲市芦淞区毅刚食品批发部,14.0
上海市海联副食品有限公司第一分公司,上海市同济初级中学,2.0
江桥批发市场辣椒寿光行,上海家得利超市有限公司丽园路店,8.0
上海良龙粮油发展有限公司,上海老三粮油,1.0
南海油脂工业(赤湾)有限公司广,上海莲源物流有限公司望园路分公司,9.0
上海闽伊食品厂,徽宁路490号,6.0
上海市梅林食品有限公司,上海龙辉餐饮管理有限公司正大广场店,3.0
上海汉康豆类食品有限公司,怡乐食-中心学校,2.0
上海阳洋豆业食品有限公司,永安菜场小王,27.0
上海万有全集团腌腊食品厂,上海乓乓响农副产品配送有限公司,1.0
上海紫燕食品有限公司,上海市普陀区鲜艳熟食店,6.0
上海天然谷屋,上海长风集贸市场经营管理有限公司,4.0
上海丰美副食品有限公司,上海市浦东新区临港第一小学,23.0
上海睿畅贸易有限公司奉贤分公司,潘群香（世纪联华莘庄店）,2.0
益海嘉里食品营销有限公司,上海必胜客有限公司南站店,8.0
上海爱凡食品有限公司,宁波铭城商贸,2.0
北京玉中都科技开发中心,上海龙辉餐饮管理有限公司月星广场店,27.0
上海农产品中心批发市场,上海田东农副产品市场经营管理分公司,43.0
上海华晨食品有限公司,上海万彬贸易有限公司,3.0
上海爱樱食品有限公司,上海龙辉餐饮管理有限公司正大广场店,14.0
上海力德尔食品有限公司,上海宴芸农贸市场,88.0
上海春祥食品有限公司,上海市李惠利中学,18.0
和记黄埔（中国）商贸有限公司,上海莲源物流有限公司望园路分公司,22.0
上海惠红农副产品有限公司,上海龙汇爱嚼餐饮有限公司,544.0
上海市嘉定区江桥镇起星食品经营部,上海沪翠餐饮有限公司陆家嘴西路一店,17.0
惠氏（上海）贸易有限公司,沃尔玛上海宝山一二八纪念路店,77.0
临沂超润食品有限公司,浦江饭店,10.0
上海天发食品贸易有限公司,上海红黄蓝双语幼稚园,518.0
ZPV0-益海嘉里食品营销有限公司,上海联家超市有限公司张江高科店,2.0
上海大昌行食品工业有限公司,上海联坤贸易有限公司,1.0
中粮国际（北京）有限公司上海分公司,上海肯德基有限公司瑞金餐厅,6.0
常州盟江食品有限公司,上海市储能中学,5.0
深圳市鑫亿丰粮油贸易有限公司,沃尔玛高行店,1.0
上海冯达豆类食品有限公司,罗玛特购物,16.0
星阳食品批发部,上海浦众农贸市场经营管理有限公司,8.0
上海艺杏食品有限公司,上海曹杨铁路市场经营管理有限公司农贸分公司,29.0
张朴,上海西郊国际农产品交易有限公司,18.0
上海新成食品有限公司,上海庆安集贸市场经营管理有限公司,2.0
上海良友海狮油脂实业有限公司,特易购商业（上海）有限公司周浦分公司,7.0
上海万有全豆制品有限公司奉贤分公司,家得利张桥,28.0
上海泽福食用菌种植专业合作社,上海市徐汇区欣建副食品经营部,1.0
上海力德尔食品有限公司,B1-0906石门二路街道居家养老服务中心 $5605①,2.0
上海春泰粮油工贸有限公司松江第一分公司,贴心超市,4.0
上海艺杏食品有限公司,普陀区教育服务配送中心《桂巷分》幼儿园,4.0
中粮国际（北京）有限公司上海分公司,上海必胜客有限公司机场镇店,2.0
