source,target
上海渔樾实业有限公司,上海老磨坊食品有限公司,5.0
上海长生食品有限公司,物美上海松江飞航店,1.0
山东鲁花集团商贸有限公司上海分公司,上海易买得超市有限公司老西门店,3.0
上海见香贸易有限公司,上海市浦东新区天池幼儿园,15.0
内蒙古中敖食品有限公司,上海朴川贸易有限公司,1.0
上海雨润食品有限公司,上海振新市场经营管理有限公司,31.0
欧本咖啡（北京）有限公司,上海龙辉餐饮管理有限公司五角场店,42.0
上海阳洋豆业食品有限公司,乳山菜场122号,30.0
吉林华正农牧业开发股份有限公司,上海紫鸿食品有限公司,58.0
贝因美（上海）现代商超营销有限公司,上海联家超市有限公司宜山店,8.0
北京泰美味国际贸易有限公司,上海龙辉餐饮管理有限公司东郊百联店,4.0
江苏海创农产品开发有限公司,上海肯德基有限公司牡丹江餐厅,32.0
上海亚太国际蔬菜有限公司,上海肯德基有限公司恒达商业广场餐厅,32.0
上海阳洋豆业食品有限公司,俱进28号,30.0
上海樟鸿贸易有限公司,上海金文食品有限公司,1.0
上海新景西餐食品有限公司,红枫/大河餐饮有限公司,8.0
上海市清美绿色食
品有限公司,宁波欧尚超市有限公司上海嘉定澄浏店,2.0
上海迪亚零售有限公司,105号店,26.0
上海鑫福昌工贸有限公司,上海家得利超市有限公司建国东路店,2.0
上海市奉贤区庄行镇怀金养殖场,锦江麦德龙现购自运有限公司嘉定商场,12.0
B428-南京利丰英和上海有限公司,上海联家超市有限公司张江高科店,38.0
上海东区老大房食品有限公司,南皋库房,19.0
上海威武市场,上海丹爱法旅游用品有限公司,1.0
上海龙辉餐饮管理有限公司九六广场店,上海汉康豆类食品有限公司,2.0
江苏海创农产品开发有限公司,上海肯德基有限公司沪松DT餐厅,4.0
上海必胜客有限公司嘉定中鸿路店,上海必胜客有限公司嘉定中鸿路店,2.0
上海冯达豆类食品有限公司,新镇宁菜市场,8.0
天津银河伟业进出口有限公司,上海纽贝滋营养乳品有限公司,13.0
上海万有全豆制品有限公司奉贤分公司,华东设计院（索迪斯）,14.0
上海迪亚零售有限公司,144号店,29.0
开允（上海）国际贸易有限公司,海亮明康汇物流有限公司,1.0
上海阳洋豆业食品有限公司,国江菜市场（逸仙）,29.0
上海市食品进出口有限公司,上海龙辉餐饮管理有限公司淀山湖大道店,1.0
上海松江粮油购销有限公司泖港粮库,松江区小昆山镇旧闻粮油店,3.0
广东八记食品有限公司（阿文）,上海辉哥海鲜火锅餐饮有限公司虹桥店,26.0
呼伦贝尔东北阜丰生物,上海祖德食品销售有限公司宝山分公司,1.0
上海丽莎盛贸易有限公司,上海宴芸农贸市场经营管理有限公司,5.0
宿州市皖神面制品有限公司,上海普圆食品有限公司,1.0
利泉（厦门）食品有限公司,上海市普陀区诚野农副产品经营部,1.0
上海意华食品有限公司,家乐福成都大世界,1.0
恒兴水产,上海江杨水产品批发市场经营管理有限公司,13.0
上海艺杏食品有限公司,欧尚（嘉定2店）--140,1.0
嘉盈国际贸易（上海）有限公司,上海海底捞实业有限公司,1.0
上海万有全豆制品有限公司奉贤分公司,东方大学城餐饮管理有限公司（上海财大）,23.0
杭州力源塑业有限公司,上海鑫程食品有限公司,4.0
上海增鑫食品有限公司,上海龙辉餐饮管理有限公司张杨路店,8.0
上海万有全豆制品有限公司奉贤分公司,上海邮政物业商务大酒店（江西北路食堂）,9.0
上海汉康豆类食品有限公司,金口,2.0
上海力德尔食品有限公司,永泰万有全,31.0
上海增鑫食品销售有限公司（程祖荣）,上海龙辉餐饮管理有限公司时代广场店,9.0
上海良友海狮油脂实业有限公司,乐购超市锦绣店,6.0
上海汉康豆类食品有限公司,25临时菜场,3.0
上海闵行区新哥肉制品经营部,上海辉哥海鲜火锅餐饮有限公司虹桥店,94.0
内蒙古小肥羊肉业有限公司,上海七宝小肥羊餐饮有限公司,5.0
上海清美绿色食品公司,新罗秀菜市场,6.0
益海嘉里食品营销有限公司,沃尔玛华东百货有限公司上海五角场分店,10.0
葛益飞肉类销售经营部,上海爱辉市场经营管理有限公司,15.0
嘉兴华勤果蔬食品科技有限公司,上海洛漫餐饮有限公司,14.0
海伦市可馨粮食经销有限公司,上海欣晨豆业有限公司,31.0
上海花冠营养乳品有限公司,厦门市同安聪聪妇幼店,9.0
上海华晨食品有限公司,富枥食品贸易有限公司,2.0
宁波卜蜂正大食品营销有限公司,锦江麦德龙现购自运有限公司虹口商场,1.0
上海旭阳绿色食品有限公司,上海绿地优鲜超市有限公司,5.0
中盐宏博集团有限公司,上海鑫禾餐饮配送有限公司,1.0
上海汉康豆类食品有限公司,上海广亚百货商业有限公司,8.0
上海湘传食品有限公司,上海古意餐饮管理有限公司静安分公司,18.0
内蒙古东方万旗肉牛产业有限公司,上海七宝小肥羊餐饮有限公司,5.0
上海市青浦区章锦粮油经营部,上海市青浦瀚文小学,1.0
上海华润五丰营销有限公司,上海新易百货有限公司,20.0
上海缘生食品有限公司,上海泉发食品有限公司,1.0
领先食品（上海）发展有限公司,味之鲜-保利鑫龙,7.0
宁波金海岸民生食品有限公司,锦江麦德龙现购自运有限公司嘉定商场,5.0
刘文学,上海西郊国际农产品交易有限公司,4.0
上海徐汇区怀田副食品商店（郭前进）,上海市徐汇区欣建副食品经营部,1.0
上海长生食品有限公司,大润发宝带店,1.0
上海铜川水产市场经营管理有限公司,上海诚信副食品市场经营管理有限公司,21.0
